jan13keta,gtin14,product_name,manufacturer_name,iji_code,kinou_kubun_code,tokutei_name,reimbursement_price_yen,pack_qty
0831427000010,00831427000010,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000010,10831427000017,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000010,20831427000014,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,5
0831427000027,00831427000027,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000027,10831427000024,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000027,20831427000021,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,5
0831427000034,00831427000034,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000041,00831427000041,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000058,00831427000058,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000065,00831427000065,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000072,00831427000072,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000089,00831427000089,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000096,00831427000096,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000102,00831427000102,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
0831427000119,00831427000119,グッドテック アンギオバルーンカテーテル,グッドマン,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
