jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
4980679196500,04980679196500,個,14980679196507,個,24980679196504,個,エンドシリコーンループバンド,J19650,10袋入り,,,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679064717,04980679064717,キット,,,,,マニュアルスケール,J06471,設定無し,,,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679064069,04980679064069,箱,,,,,真空密封型採血管モノセッドＶ,J06406,100本入り,,1,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679064106,04980679064106,箱,,,,,真空密封型採血管モノセッドV-S,J06410,100本入り,,1,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679064113,04980679064113,箱,,,,,真空密封型採血管モノセッドV-Sアダプター付,J06411,100本入り,,1,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679064243,04980679064243,箱,,,,,真空密封型採血管モノセッドＶ,J06424,100本入り,,1,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679064250,04980679064250,箱,,,,,真空密封型採血管モノセッドV-S  ナンバリングタイプ　100本入,J06425,100本入り,,1,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679064496,04980679064496,箱,,,,,真空密封型採血管モノセッドV-S  アダプター付　１本線タイプ,J06449,100本入り,,1,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679196012,04980679196012,個,,,,,ＭＢＳ微量採血キット,J19601,設定無し,,,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980679128037,04980679128037,個,,,,,左心室ベント用安全弁　ＶＲＶ－Ⅱ,J12803,1個入り,,1,常光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
