gtin14,jan3,jan4,jan13keta,indicator
04942962257251,494,4942,4942962257251,i0
04942962257411,494,4942,4942962257411,i0
04946306009049,494,4946,4946306009049,i0
04946306009087,494,4946,4946306009087,i0
04946306009100,494,4946,4946306009100,i0
04946306009117,494,4946,4946306009117,i0
04946306009124,494,4946,4946306009124,i0
04946306031514,494,4946,4946306031514,i0
04946306031521,494,4946,4946306031521,i0
04946306031996,494,4946,4946306031996,i0
04946306032009,494,4946,4946306032009,i0
04946306032016,494,4946,4946306032016,i0
04946306032023,494,4946,4946306032023,i0
04946306097411,494,4946,4946306097411,i0
04946306097466,494,4946,4946306097466,i0
04946306097473,494,4946,4946306097473,i0
04946306097428,494,4946,4946306097428,i0
04946306097435,494,4946,4946306097435,i0
04946306097442,494,4946,4946306097442,i0
04946306114231,494,4946,4946306114231,i0
04946306114248,494,4946,4946306114248,i0
04946306114255,494,4946,4946306114255,i0
04946306114262,494,4946,4946306114262,i0
04946306114279,494,4946,4946306114279,i0
04946306114286,494,4946,4946306114286,i0
04946306059112,494,4946,4946306059112,i0
04946306059716,494,4946,4946306059716,i0
04946306032030,494,4946,4946306032030,i0
04946306097404,494,4946,4946306097404,i0
04946306119816,494,4946,4946306119816,i0
04946306000121,494,4946,4946306000121,i0
04946306029979,494,4946,4946306029979,i0
04946306029986,494,4946,4946306029986,i0
04946306029993,494,4946,4946306029993,i0
04946306030005,494,4946,4946306030005,i0
04946306030012,494,4946,4946306030012,i0
04946306030067,494,4946,4946306030067,i0
04946306030074,494,4946,4946306030074,i0
04946306030081,494,4946,4946306030081,i0
04946306030098,494,4946,4946306030098,i0
04946306067612,494,4946,4946306067612,i0
04946306067629,494,4946,4946306067629,i0
04946306067636,494,4946,4946306067636,i0
04946306067643,494,4946,4946306067643,i0
04946306067650,494,4946,4946306067650,i0
04946306067667,494,4946,4946306067667,i0
04946306067674,494,4946,4946306067674,i0
04946306067681,494,4946,4946306067681,i0
04946306067698,494,4946,4946306067698,i0
04946306067704,494,4946,4946306067704,i0
04946306067711,494,4946,4946306067711,i0
04946306067728,494,4946,4946306067728,i0
04946306067735,494,4946,4946306067735,i0
04946306067742,494,4946,4946306067742,i0
04946306067759,494,4946,4946306067759,i0
04946306067766,494,4946,4946306067766,i0
04946306067773,494,4946,4946306067773,i0
04946306067780,494,4946,4946306067780,i0
04946306078038,494,4946,4946306078038,i0
04946306078045,494,4946,4946306078045,i0
04946306078052,494,4946,4946306078052,i0
04946306078069,494,4946,4946306078069,i0
04946306078076,494,4946,4946306078076,i0
04946306078083,494,4946,4946306078083,i0
04946306078090,494,4946,4946306078090,i0
04946306078106,494,4946,4946306078106,i0
04946306096025,494,4946,4946306096025,i0
04946306107721,494,4946,4946306107721,i0
04946306106540,494,4946,4946306106540,i0
04946306106526,494,4946,4946306106526,i0
04946306106533,494,4946,4946306106533,i0
04946306107462,494,4946,4946306107462,i0
04946306107776,494,4946,4946306107776,i0
04946306107493,494,4946,4946306107493,i0
04946306107660,494,4946,4946306107660,i0
04946306107653,494,4946,4946306107653,i0
04946306107547,494,4946,4946306107547,i0
04946306107578,494,4946,4946306107578,i0
04946306107431,494,4946,4946306107431,i0
04946306107448,494,4946,4946306107448,i0
04946306107455,494,4946,4946306107455,i0
04946306107479,494,4946,4946306107479,i0
04946306107486,494,4946,4946306107486,i0
04946306107516,494,4946,4946306107516,i0
04946306107523,494,4946,4946306107523,i0
04946306107530,494,4946,4946306107530,i0
04946306107554,494,4946,4946306107554,i0
04946306107561,494,4946,4946306107561,i0
04946306108063,494,4946,4946306108063,i0
04946306107424,494,4946,4946306107424,i0
04946306107509,494,4946,4946306107509,i0
04946306118390,494,4946,4946306118390,i0
04946306118383,494,4946,4946306118383,i0
04946306121017,494,4946,4946306121017,i0
04946306121024,494,4946,4946306121024,i0
04946306121031,494,4946,4946306121031,i0
04946306139722,494,4946,4946306139722,i0
04946306139715,494,4946,4946306139715,i0
04946306139708,494,4946,4946306139708,i0
04946306139739,494,4946,4946306139739,i0
04946306140483,494,4946,4946306140483,i0
04946306140490,494,4946,4946306140490,i0
04946306140506,494,4946,4946306140506,i0
04946306140803,494,4946,4946306140803,i0
04946306140810,494,4946,4946306140810,i0
04946279293803,494,4946,4946279293803,i0
04946306002705,494,4946,4946306002705,i0
04946306002712,494,4946,4946306002712,i0
04946306003283,494,4946,4946306003283,i0
04946306059099,494,4946,4946306059099,i0
04946306059105,494,4946,4946306059105,i0
04946306003344,494,4946,4946306003344,i0
04946306059761,494,4946,4946306059761,i0
04946306066202,494,4946,4946306066202,i0
04946306066219,494,4946,4946306066219,i0
04946306103488,494,4946,4946306103488,i0
04946306113708,494,4946,4946306113708,i0
04946306113692,494,4946,4946306113692,i0
04946306117102,494,4946,4946306117102,i0
04946306118734,494,4946,4946306118734,i0
04946306120287,494,4946,4946306120287,i0
04946306059891,494,4946,4946306059891,i0
04946306059907,494,4946,4946306059907,i0
04946306073248,494,4946,4946306073248,i0
04946306075242,494,4946,4946306075242,i0
04946306120461,494,4946,4946306120461,i0
04946306120492,494,4946,4946306120492,i0
04946306120515,494,4946,4946306120515,i0
04946306120522,494,4946,4946306120522,i0
04946306120423,494,4946,4946306120423,i0
04946306120485,494,4946,4946306120485,i0
04946306120539,494,4946,4946306120539,i0
04946306120546,494,4946,4946306120546,i0
04946306120478,494,4946,4946306120478,i0
04946306120508,494,4946,4946306120508,i0
04946306078250,494,4946,4946306078250,i0
04946306113647,494,4946,4946306113647,i0
04946306113654,494,4946,4946306113654,i0
04946306113661,494,4946,4946306113661,i0
04946306113623,494,4946,4946306113623,i0
04946306116433,494,4946,4946306116433,i0
04946306119311,494,4946,4946306119311,i0
04946306138084,494,4946,4946306138084,i0
04946306138091,494,4946,4946306138091,i0
04942962263535,494,4942,4942962263535,i0
04942962263559,494,4942,4942962263559,i0
04942962263566,494,4942,4942962263566,i0
04942962263573,494,4942,4942962263573,i0
04946306120966,494,4946,4946306120966,i0
04946306065748,494,4946,4946306065748,i0
04946306982977,494,4946,4946306982977,i0
04946306066974,494,4946,4946306066974,i0
04946306107608,494,4946,4946306107608,i0
04946306108384,494,4946,4946306108384,i0
04946306108414,494,4946,4946306108414,i0
04946306108421,494,4946,4946306108421,i0
04946306107592,494,4946,4946306107592,i0
04946306003894,494,4946,4946306003894,i0
04946306007632,494,4946,4946306007632,i0
04946306007663,494,4946,4946306007663,i0
04946306007670,494,4946,4946306007670,i0
04946306983929,494,4946,4946306983929,i0
04946306064611,494,4946,4946306064611,i0
04946306064628,494,4946,4946306064628,i0
04946306064635,494,4946,4946306064635,i0
04946306064642,494,4946,4946306064642,i0
04946306064659,494,4946,4946306064659,i0
04946306064666,494,4946,4946306064666,i0
04946306064673,494,4946,4946306064673,i0
04946306064680,494,4946,4946306064680,i0
04946306064697,494,4946,4946306064697,i0
04946306064703,494,4946,4946306064703,i0
04946306075471,494,4946,4946306075471,i0
04946306075488,494,4946,4946306075488,i0
04946306075495,494,4946,4946306075495,i0
04946306075501,494,4946,4946306075501,i0
04946306075518,494,4946,4946306075518,i0
04946306075525,494,4946,4946306075525,i0
04946306075563,494,4946,4946306075563,i0
04946306075570,494,4946,4946306075570,i0
04946306075587,494,4946,4946306075587,i0
04946306075594,494,4946,4946306075594,i0
04946306075600,494,4946,4946306075600,i0
04946306075617,494,4946,4946306075617,i0
04946306075624,494,4946,4946306075624,i0
04946306075631,494,4946,4946306075631,i0
04946306075648,494,4946,4946306075648,i0
04946306075655,494,4946,4946306075655,i0
04946306075662,494,4946,4946306075662,i0
04946306075679,494,4946,4946306075679,i0
04946306076942,494,4946,4946306076942,i0
04946306076959,494,4946,4946306076959,i0
04946306088488,494,4946,4946306088488,i0
