gtin14,jan3,jan4,jan13keta
54987350000915,498,4987,4987350000910
54987350002391,498,4987,4987350002396
54987350002414,498,4987,4987350002419
54987350002438,498,4987,4987350002433
54987350002452,498,4987,4987350002457
54987350002476,498,4987,4987350002471
54987350002490,498,4987,4987350002495
54987350002513,498,4987,4987350002518
54987350002537,498,4987,4987350002532
54987350002551,498,4987,4987350002556
54987350002599,498,4987,4987350002594
54987350003138,498,4987,4987350003133
54987350003176,498,4987,4987350003171
54987350003213,498,4987,4987350003218
54987350003251,498,4987,4987350003256
54987350005170,498,4987,4987350005175
54987350005910,498,4987,4987350005915
54987350005934,498,4987,4987350005939
54987350006894,498,4987,4987350006899
54987350017890,498,4987,4987350017895
54987350018590,498,4987,4987350018595
54987350018613,498,4987,4987350018618
54987350019658,498,4987,4987350019653
54987350024898,498,4987,4987350024893
54987350025154,498,4987,4987350025159
54987350027011,498,4987,4987350027016
54987350030950,498,4987,4987350030955
54987350030974,498,4987,4987350030979
54987350031490,498,4987,4987350031495
54987350032831,498,4987,4987350032836
54987350035719,498,4987,4987350035714
54987350035795,498,4987,4987350035790
54987350036075,498,4987,4987350036070
54987350036556,498,4987,4987350036551
54987350036655,498,4987,4987350036650
54987350036693,498,4987,4987350036698
54987350036853,498,4987,4987350036858
54987350037119,498,4987,4987350037114
54987350037133,498,4987,4987350037138
54987350037812,498,4987,4987350037817
54987350037836,498,4987,4987350037831
54987350037973,498,4987,4987350037978
54987350038192,498,4987,4987350038197
54987350038253,498,4987,4987350038258
54987350038376,498,4987,4987350038371
54987350038536,498,4987,4987350038531
54987350039137,498,4987,4987350039132
54987350039236,498,4987,4987350039231
54987350039359,498,4987,4987350039354
54987350039373,498,4987,4987350039378
54987350039496,498,4987,4987350039491
54987350039557,498,4987,4987350039552
54987350039731,498,4987,4987350039736
54987350039755,498,4987,4987350039750
54987350039779,498,4987,4987350039774
54987350039793,498,4987,4987350039798
54987350039816,498,4987,4987350039811
54987350039991,498,4987,4987350039996
54987350041536,498,4987,4987350041531
54987350059272,498,4987,4987350059277
54987350059418,498,4987,4987350059413
54987350065136,498,4987,4987350065131
54987350065150,498,4987,4987350065155
54987350065174,498,4987,4987350065179
54987350065198,498,4987,4987350065193
54987350065211,498,4987,4987350065216
54987350065235,498,4987,4987350065230
54987350065259,498,4987,4987350065254
54987350065273,498,4987,4987350065278
54987350065297,498,4987,4987350065292
54987350065310,498,4987,4987350065315
54987350065334,498,4987,4987350065339
54987350065358,498,4987,4987350065353
54987350065372,498,4987,4987350065377
54987350065396,498,4987,4987350065391
54987350065419,498,4987,4987350065414
54987350065433,498,4987,4987350065438
54987350065457,498,4987,4987350065452
54987350065471,498,4987,4987350065476
54987350065495,498,4987,4987350065490
54987350065518,498,4987,4987350065513
54987350065532,498,4987,4987350065537
54987350065556,498,4987,4987350065551
54987350070017,498,4987,4987350070012
54987350070031,498,4987,4987350070036
54987350070079,498,4987,4987350070074
54987350070611,498,4987,4987350070616
54987350070772,498,4987,4987350070777
54987350071199,498,4987,4987350071194
54987350071335,498,4987,4987350071330
54987350071434,498,4987,4987350071439
54987350071458,498,4987,4987350071453
54987350071472,498,4987,4987350071477
54987350071496,498,4987,4987350071491
54987350071670,498,4987,4987350071675
54987350071694,498,4987,4987350071699
54987350071717,498,4987,4987350071712
54987350072417,498,4987,4987350072412
54987350072431,498,4987,4987350072436
54987350072479,498,4987,4987350072474
54987350072639,498,4987,4987350072634
54987350072653,498,4987,4987350072658
54987350072974,498,4987,4987350072979
54987350072998,498,4987,4987350072993
54987350073254,498,4987,4987350073259
54987350073513,498,4987,4987350073518
54987350073575,498,4987,4987350073570
54987350073599,498,4987,4987350073594
